english	manx_translations
roundabout	chymbyl; chymbyllagh; cruinnag
roused	broddit; dooshtit; moostit
rowan	billey keirn; cuirn; keirn
royalty	reeoilid; reealtys; reeriaght
RSVP	Cur freggyrt da; n chuirrey my sailt; Cur-shiu freggyrt da
rumble	buirroogh; Rumble like thunder; buirrooghey
runway	raad-etlan; roievollagh; ppell
russet	keeir-lheeah; russad; ooyl ruy
rustle	craa; farrym; geid ollee
ruthlessness	barbaraght; neuhrocairys; neuvyghinid
sac	bolgan; poagey; sac
sacked	ceaut ass obbyr; ceaut ass staartey; craghit
sacredness	baneeaght; casherickys; dovrishtaght
saddle-backed	jeeigit 'sy ghreeym; jeelt-drommagh; moal-drommagh
safeguard	arrey coadee; coadey; saase coadee
saintliness	banneeaght; nooaght; nooyrid
salad	glassan; Salad may have its admirers but I am not one of themF; sallaid
sallowness	buighid; lheeah-viughid; treihys
saloon	cabbane; halley; saloon
sanction	cur chied da; kied; lhiettrimys
sandpit	towl geinnee; slogh geinnee; lag-geinnee
sane	er e cheeayll; slane; slayntoil
sapless	chirrym; creen; gyn bree
sappy	glass; lane soo; oor
sarcastic	craidagh; gallvargagh; gallvergagh
satire	craidoilys; grinderys; rone
satirical	craidoilagh; grinderagh; ronneeagh
sat-nav	sat-stiurey; sat-stiureydys; sat-lhuingysseyraght
saturate	baih; lhieeney; saiaghey
sauciness	assagys; bryntid; perkinaght
savageness	barbaraght; clohan; feiaraght
scad	breck frangagh; lhiemmeyder; scad
scan	cronnaghey; mynscrutaghey; scaney
scandalmonger	beealerey scammyltagh; caartreyder; chengleyr scammaltagh
scarceness	dulley; gennid; goanid
scare	aggle; It gave me a scare; atchim
schemer	crouteyr; cummeydagh; kialgeyr
schemes	coyrliaghyn; skeimyn; skeymyn
scheming	cluge; cummeydaght; clugagh
schoolfellow	cumraag scoill; sheshey-scollag; sheshey-schoillar
schoolteacher	fer ynsee; ynseyder scoill; fer-ynsee
scientist	oayllee; sheanseyr; skeeandagh
scissor	giarrey lesh shuddyryn; shuddyr; shuddyryn
scoop	cragh; craghey; sleaystey
scowling	grouigagh; grouigey; scryssagh
scragginess	garrooid; meillid; neureays
scraggy	craueagh; garroo; lhome
scramble	bwoalley; jannoo mestey vestey jeh; skeaylley
script	bun-screeuyn; laue-screeuyn; screeuyn
scrubbed	scooirt; scrysst magh; scryst magh
scrupulous	cruinn; imneagh; mynchooishagh
scuffle	costreppey; jannoo boiranys; screebane
sculpture	grainnaghey; grainney; jallooderys
scupper	limmer; scuppyr; sinkeil
scuttle	sooill lhuingey; cruick gheayil; towl cooylley
seafront	bayr traie; esplanaid; shooylaghan
seaman	marrinagh; Able seaman; shiaulteyr
seamanship	marraght; shiaulteyrys; schle
seamless	gyn junt; gyn whaaley; gyn whomm
seaport	balley keayin; lhong-phurt; purt
sear	fowaney; jannoo dhone; shirgaghey
seascape	caslys marrey; mooir-chaslys; reayrt marrey
seasoning	blasstalys; faagail; cliaghtey
seawards	gour yn aarkey; lesh y cheayn; lesh yn aarkey
seaworthy	aarloo da'n aarkey; aarloo da'n cheayn; aarloo da'n vooir
secrecy	follaghey; folliaght; keiltynys
secular	neuvonnagh; seihllt; seihlltagh
seedsman	caihder; rasseyder; sheeleyder
seedy	caihagh; chingyssagh; rassagh
see-saw	laair vaidjey; maidjey corragh; leaystey
segment	meer; rheynn ayns meeryn; scarrey
seismic	craa-hallooinagh; seismagh; thalloo-chraagh
seizing	goaill; greimmey; nastey
self-determination	hene-reddey; hene-reill; seyrsnys
semi-detached	lieh-hie; lieh-scarrit; thie lieh scarrit
senator	shannadeyr; shanstragh; fer-coyrle
seniority	ardjid keim; eash; shenndeeaght
senselessness	kyrloghid; meecheeall; meecheeallid
sensuality	gimmanys; saynt ny foalley; soyllarys
separately	er lheh; fer as fer; fer ny yei fer
sepulchral	dobbranagh; dobberanagh; groamey
serenade	kiaull oie; Serenade; serenaid
serenity	kiunaght; kiuney; kiunid
serrated	aggagh; feeacklagh; kereagh
server	reireyder; shirveishagh; tendeilagh
sex	chibbag; jibbag; dooghys
shabbiness	boghtynid; boghtynid choamrey; kercheenys
shabby	boght; boght-choamrit; kercheenagh
shackles	geulaghyn; kianglaghyn; The shackles of convention
shadiness	doorey; ouryssaght; scaa
shagreen	crackan sharkagh; lhiare grineenagh; troggal grineenyn er
shallowness	aaghiunid; eaghtyraght; eddrymid
shambles	corvaal; thie buitchoorys; margaghyn
shampoo	folt-heeabin; folt-oonley; sheeabin foltoonlee
shamrock	samark; shamrag; Four leaved shamrock
shareholder	ayrniagh; rheynneyder; ronneyder
shark	sharkagh; Basking shark; fanneyder
sharp-sighted	geyre-hooillagh; geyre-reayrtagh; creeney
sharp-sightedness	shilley birragh; shilley geyre; creenaght
shatter	mynvrishey; scryssey magh; smoashal
shattered	mynvrisht; scryssit magh; smoashit
she-ass	assyl bwoirrin; assyl bwoirryn; laair assyl
sheepdog	coo keyrragh; moddey cloh; moddey keyrragh
sheeptrack	cassan keyrragh; dann; raggey
shibboleth	jarroo-raa; shenn-raa ceaut; shibboleth
shimmer	craa-skell; craa-skelley; skell
shipment	cur er boayrd; troggal er boayrd; shiaulley
shipwreck	coayl lhuingey; cur jerrey rish; lhongvrishey
shipwrecked	brisht; caillt; lhongvrisht
shoal	broogh; skyoll; skyolley
shocking	atchimagh; craaynagh; scammyltagh
shoelace	kiangley braagey; laatchey; yeeal vraagey
short-lived	giare-heillagh; giare-heiltagh; neuveayn
showy	erreaytagh; jesheenagh; taishbynagh
shudder	er-creau; cur er creau; You make me shudder
sicken	aase ching; cur chingys er; cur feoh da
sickliness	doghanys; dourinaght; jiooldaght
sigher	osneyder; soghallagh; sogheyder
silhouette	gruaie; scaa-chaslys; tayrn scaa-chaslys jeh
silkiness	meeinid; sheeidaght; sheeidoilaght
silky	meein; sheeidagh; sheeidoil
sill	leac uinnag; laare; jeayst
silliness	meecheeayl; meecheeayll; meecheeayllid
silt	glaare; laagh varrey; lhieeney lesh glaare
simpleness	meecheeayl; meecheeayll; meecheeayllid
simpleton	blebbin; bolvane; giare-cheeayllagh
singly	fer er fer; gyn cooney; lomarcan
sinister	baggyrtagh; neuyesh; olk
sinker	clish; clysh; There's a net sinker on her tail
sinless	gyn-loght; gyn peccah; neuloghtagh
siphon	jiole-phiob; shiffaanagh; shiffane
sissyish	boobagh; nesh; soaillit
sitter	guirreyder; kiark ghuirragh; soieder
skid	saayl; skirraghtyn; skirrey
skinner	craitneyder; fanneyder; shehder
skyline	bun ny speyrey; faarey; fannys
slackness	ansmaght; buiggid; buiggys
slam	builley; bwoalley; carrame
slant	cur sceau er; faaney; sceau
slanting	cleaynit; Slanting handwriting; croghit
slash	baarney; beim; fanney
slashed	fannit; giarrit; scart
slashing	fanney; fanntagh; scuitchal
slating	cur lhic er; fanney; sclatal
slaty	leacagh; sclate-ghorrym; sclate-lheeah
slaughterer	buitchoor; cragheyder; marrooder
slaughtering	buitchooragh; haar; marroo
sleepless	gyn cadley; sheer-ghooisht; Sleepless brain
slenderize	keylagh; keyley; shangaghey
slenderness	genney; keylid; shangid
slick	abyl; arbyl; jesh-laueagh
slickness	ablid; gastaght; jesh-laueaght
slightness	begganid; eddrymid; feoisid
slipping	skirrey; skyrraghtyn; The clutch is slipping
slither	skyrraghtyn; skyrrey; snaue
slog	smishtaghey; smishtey; tayrn smishtey er
sloppy	jeeillagh; lheaumagh; slobbagh
slot	scoltan; giarrey scoltey ayn; scoltey
slough	ceau yn crackan; crackan; feill varroo
sludge	dreedyr; laagh vog; sluddaght
sludgy	dreedyragh; laaghagh; sluddagh
slur	comys; kiangle; moandid
slyness	cluge; cooishaght; foall
smalls	myn-eaddeeyn; Washing her smalls; mynlagh
smartness	bioyrid; glickys; jeshid
smash	bransal; bransey; brasney
smasher	brisheyder; stoamey; She's a smasher!
smear	smearey; tootey; slaa
smelter	lheieder; smelt; thie lheie
smog	jaagh-chay; kay phlooghee; kay vooghee
smoothest	s'meeiney; s'rea; s'reajagh
smoothness	lhoamid; meeinid; reaid
smuttiness	broidid; glare ghlieemianagh; sooieaght
smutty	broighe; cannooagh; gimmanagh
snag	bac; gragane; kiap
snakiness	aarnieuaght; lhoobagh; nieunaght
snap	greim; greimmey; goaill jalloo jeh
snappishness	caulgid; feeacklaght; friogganys
snaring	ribbagh; ribbey; ribbeydagh
snarl	gyrn; grinderagh; gyrnal
sneer	connaasagh; faghid; grinderys
sneezing	streighernee; streighraght; streiyraght
snip	dellal mie; kionnaght vie; giarrey
snoop	keekal; keekey; keekeyder
snot	breban; har; smug
snouty	sockagh; stroinnagh; stroohagh
snowball	bluckan sniaghtee; ceau bluckan sniaghtee; gaase dy tappee
snowdrift	sheebey sniaghtee; sheebane sniaghtee; shiaullane
snowflake	claddan; claddan sniaghtee; floag sniaghtee
souyrid	cha; How can he be so cruel?; cho
sock	mynoashyr; oashyr; oashyr veg
softness	buiggid; buiggys; meeinid
soggy	baiht; fliugh; tash
soiling	sallaghey; sollaghey; solley
solicit	jannoo aghin son; shirrey; yeearree
soliciting	shirrey; yeearree; yeearreeagh
solidity	claght; fondid; gruntalaght
solitariness	fadaneys; lomarcanys; neuheshoilys
solitude	fadane; fadanys; lomarcanys
solo	arrane ny lomarcan; kiaull ny lomarcan; quist da 'nane
solvency	follanid; fondid; sooghid
songless	gyn arrane; gyn kiaull; neuarraneagh
soothsayer	faaishnagh; fallogyssagh; guess
sordid	sollagh; sondagh; trullee
sot	floddan; kione meshtal; pohteyr
sough	osnaghey; osney; soghal
sourness	gearid; geyrid; gortys
souse	fliughey; meshtey; piggley
southerly	gour y jiass; jiass; Southerly exposure
spaceman	spoareyder; dooinney-spoar; spoar-troailtagh
spank	gred ny curpyn; greddaney ny curpyn; greddey ny curpyn
spanker	cabbyl tappee; greddeyder; shiaull arbyl
spanner	rinse; spanney; ogher-cassee
spar	clarinagh; co-ghleck; sparrey
spareness	gennid; thannid; neuriurid
spasm	lhieeney; raght; teaym
spatter	crottey; slaa; spreih
spectator	cronneyder; fakider; jeeagheyder
spectre	arraght; scaan; ashlish
speculate	jannoo tuarymaght; sheiltyn; shein
speculator	sheiltynagh; tuarymagh; fer-heaymagh
spendthrift	baarailagh; jummallagh; stroialtagh
spewed	skeahit; skeayit; skeayt
sphere	cruinney; magher; rheynn
spike	birrag; kibbin; greimmey lesh birrag
spindle	fess; She layeth her hands to the spindle; ee cur e meir gys y fess
spinster	ben neuphoost; ben sneeuee; caillin gyn poosey
spiral	caslagh; cassagh; jannoo caslagh
spits	shellaghyn; Bible; bhir
splashy	glonkagh; skeollagh; spreihagh
splay-footed	cam-chassagh; liebeigagh; spaagagh
spliced	poost; skerit; skerrit
splutter	sparchal; spooyteraght; sparch
sponging	jiole voish; jioleydagh; thoagaghey
spontaneous	arryltagh; joinagh; seyr-hoillagh
spool	rollian; spooyl; togherys
sportsman	cloieder; shelgeyr; spoyrteyr
sprain	lheanaghey; lheaney; sheeyney
sprinter	ratcheyder; roieder; sprinteyr
spume	barrag; dredje; folt y ven varrey
spunk	creeaght; daanys; musthane
spurt	driss; grash; skioot
spying	scryaltys; sheegerys; speeikearagh
squall	clabbin; glistyr; screeagh
squanderer	jummal; jummalys; jummallys
squawk	graag; scraagh; graagey
squelch	broojey; leaum; leaumey
squid	dyachlym; peie vreinn; squid
squirt	farrane; farraneagh; skioot
stab	saih; Stab in the back; seiy
stabbing	saih; saihagh; seiyagh
stabilizer	beayneyder; co-soieder; skian-fondid
stag	charroo; dow; Stag of red deer
staleness	eigid; eighid; gartid
stamina	bree; butt; innagh
stammer	cabbid; loayrt dy cabbagh; loayrt dy thittagh
stammerer	cabbagh; fer moandagh; stuttalagh
standards	stundayrtyn; culleeyn; every man in his place by their standards3
starboard	cheu yesh; On the starboard beam; jesh
starch	stark; starkaghey; starkey
starfish	crossag varrey; deill; dell
starkness	lajerid; reenid; treanid
starlit	rollageagh; roltagagh; rondagagh
static	neughleashagh; staddagh; staddaght
stationery	cullee screeu; pabreydys; staishoneyraght
statistics	earroo; steat-choontey; staddyssaght
stave	bad; claare; cleeah
stayer	cabbyl beayn; dooinney beayn; fuirreyder
steadily	dy corrym; dy rea; gyn stad
steed	agh; eagh; niagh
steely	creoi; foyragh; stailliangh
steer	stiurey; stiur; stott
stereotype	beaynaghey; cur beaynchroo er; plaital
sterility	amrideeaght; shiastaght; shiastid
sterilization	amridaghey; jannoo shiast; shiastey
sterilize	amridaghey; jannoo shiast; shiastey
sterilized	amridit; jeant shiast; shiastit
sternness	creoighys; groamid; loghtalid
sticky	gleiynagh; greimmagh; lhiantagh
stiffness	chionnid; doilleeid; creoighys
stifled	plooghit; plooght; I am stifled
stillborn	marroo-ruggit; marroo-vehrt; marroo-vreyit
stinker	breimen; feer ghoillee; The history paper was a stinker&
stint	garrey; shayll; mooaraghey
stirrer	greeseyder; mesteyder; seiyder
stitched	fuaillit; greimmit; whaalt
stocktaking	coontey sthock; leaghal; leaghal sthock
stonecutter	cummeyder cloaie; giarreyder cloaie; jallooder cloaie
stope	guag; ooig; pitschal
storekeeper	fer shapp; fer stoyr; shappeyder
storyteller	breagerey; shennaghee; skeealeragh
story-telling	shennaghys; skeealaght; skeealleydys
stowage	costys lughtee; lughtaghey; tashtey
straddle	maidjey; scarrey goal; shassoo scart
straightness	jeeraght; jeerid; jeerys
strained	chionnt; sheelit; sheeynt
strainer	chionneyder; sheelane; shollane
stranded	faagit; treigit; soie chirrym
strapped	kianglt; sthrappit; yeeallt
strictness	cruinnid; geyrid; jeerid
stringy	reen; reenagh; strengagh
stroller	riblas; rouailtagh; shooyllagh
stronghold	doon; carrog; carrick
structural	coyannoo; troggallagh; strughtooroil
structure	co-yannoo; jannoo; kiaddey
strut	ard-cheimnaghey; ard-chesmad; braid
stud	griagh; griaght; laan
studious	lhaihagh; lioaragh; studeyragh
stultify	cur er neunhee; faagail gyn vree; jannoo ommidan jeh
stun	cur neeal er; jannoo thollaneagh; kyrloghey
stutter	abbyr dy moandagh; loayrt dy cabbagh; loayrt dy moandagh
sty	lheunican; mucklee; muclagh
subaltern	eeghtyragh; fo-oikagh; injil
subcontinent	fo-vooar-rheynn; fo-heer; vooar
sublime	ard-reamagh; nhee s'ooashley; ooashlaght
submarine	fo-honn; fo-vooir; fovooirane
submerge	baih; cur fo'n ushtey; goll fo
subordination	curmeydaght; curmeydys; fo-oardaghey
substitution	caghlaa; cur ayns ynnyd; maylartey
subtle	croutagh; fysseragh; geyre-chooishagh
subtlety	cluigid; croutys; kialg
suchlike	lheid shen; nyn lheid; Poets, writers and suchlike#
sudsy	keshagh; keshalagh; sobbylagh
sufferance	fuillaghtyn; kied; surranse
suicide	dunver hene; dunverys hene; hene-varroo
suitability	cochormys; freggyrtaght; jeshid
suitor	accanagh; dooinney sooree; fer sooree
sulk	jannoo meill; pooitch; smull
sultana	ben sultan; sultaanagh; benrein yn impir Hurcagh
summertime	raiee yn touree; sourey; traa noa
sundew	lus ny graih; lus y druight; lus yn eiyrtys
super-	sar-; sur-; far-
superintendence	jeeaghyn harrish; oaseirys; stiurey
superintendent	ard-er; kione ny meoiryn shee; oaseir
superlative	sur-cheim; sur-cheimagh; sur-vie
supernatural	erskyn dooghys; neughooghyssagh; quaagh
superstructure	eaghtyr; sur-hroggalys; ard-troggalys
supervisor	meoir; oaseir; stiureyder
supporter	cooidjeyder; cummeyder; fer niartee
suppressed	currit fo chosh; mooghit; plooghit
suppressor	casteyder; moogheyder; ploogheyder
suppurating	yngyragh; yngyraghey; yngyraght
surly	groamagh; grouw; sproghtagh
susceptible	cleaynit gys; currit da; foshlit da
swab	jiole seose; jioleyder; taaheen
swamp	anagh; boglagh; creelagh
swarthy	dhoan; dhone; doan
swaying	leaystey; lunjeaney; mooireerey
swig	slug; sluggag; sluggey
swill	cooid ny muick; strull; strulley
switch	corrag; Starting switch; scuitch
sycamore	billey shykey; shykey; sycamore
symmetry	co-chrooaght; coreggyrtys; shimmeadraght
synchronize	cheet cooidjagh; sincroaney; soiaghey
tabloid	baghtagh; milljan; pabyr-naight baghtagh
tadpole	frog aeg; rannag aeg; torbane
tailoring	thalhearagh; thalhearaght; thalhearys
taint	breinnaghey; jannoo sollagh; breinnid
talebearing	naigheagh; skeealeraght; tutleraght
talkativeness	beealeraght; chengleyrys; tutleraght
tallest	smoo; s'lhiurey; My sister is the tallest of our family7
tanker	doagh troailt; doagh-hroailt; lhong ooill
tariff	claare-costys; claare leaghyn; custym
tarnish	mill; milley; smull
tattler	skeealeragh; skeealeyer; tutler
tattling	beealeragh; skeealeragh; tutleragh
tattoo	dollan ny hoie; tattoo; taishbynys oie
tawny	cartagh; loaghtan; ouyr
teased	boirit; kereit; speeinit
technique	chaghnys; keirdeeaght; He's got the technique!
tell-tale	chengey lhag; cleaysh chooag; inshagh
temerity	daanys; eddin; Temminck
tennis	bassag; leddoge; tennys
tension	chennid; chionnid; sheeyney
tergiversation	goll ergooyl; treigeilys; chengey lhiam lhiat
termination	creeagh; jerrey; kione
tether	cribban; crubban; eiystyr
therewithal	chelleeragh ny yei; harrish as erskyn shen; lesh shen
thievishness	braddaght; braddid; bredid
thinkable	feeu smooinaght er; sheiltynagh; smooinaghtoil
thinness	feiosid; keylid; thannid
thorough	dowin; magh as magh; slane
thoroughfare	bollagh; cassan; bayr
thoroughness	creaghnoilaght; cruinnys; glennid
thoughtlessly	dy meehastagh; dyn smooinaght; dyn tort
thoughtlessness	antort; meehastid; meerioose
thousandth	jeih cheeadoo; millioo; thousaneoo
thraldom	bondiaght; breihys; sleabaght
thrall	breih; deyrsnagh; sleab
throttle	pioban; scoig; scoigey
throttling	toghtaghey; toghtey; scoigey
thrower	ceauder; ceaueyder; tilgeyder
thumper	donkeyder; labbeyder; polteyr
tickling	doarn-eeastagh; kickilagh; kickley
ticklish	cast; doillee; kicklagh
ticklishness	castid; doilleeid; kicklaght
tidiness	jeadid; jeadys; jeshid
tig	cloie tig; cur tig er; tig
tiger	cheegyr; teigyr; lion-schimmeigagh
tights	oashyryn bouinagh; troosyn; oashyryn-lheshey
tile	cheel; leacan; lhiack
tiled	cheelit; leacanagh; sclate
tiler	cheeleyder; jeeneyder thie; sclateyr
timbered	aamaid; foiee; foieet
timidity	aggle; faitys; scaa
timing	combaase; coreilaght; towse traa
tinge	blass; daaheen; mynghaah
tinkle	claggyraght; clinck; gligginaght
tin-plate	cur plait stainney er; stainnaghey; stainney
tinsel	cur tinsyl er; foalsey; tinsyl
tint	bane-ghaah; mynghaah; mynghaahaghey
tithed	fo yaghee; jagheeit; jaghit
tittle-tattle	tutleraght; cabbaraght; tutlerys
to	rish; rishyn; Give everyone his due
toasting	giu slaynt; greddaney; greddey
toilsome	doccaragh; jeidagh; tooilleilagh
tolerant	surrallagh; surransagh; surransoil
tolling	bwoalley cluig; cling; kiaullane
tomahawk	teigh caggee; teiy; teigh-caggee
tonic	aaghleaysheyder; aavreeagh; jough laynt
tope	coo glass; gobbag vooar; gobbag rangagh
top-full	lane gys y chrossag; lane gys y veeal; lung-lane
topple	lhieggal; lhieggey; tuittym
topsy-turvy	bun ry baare; bun ry skyn; fud y cheilley
torpedo	lhieggey torpaid er; torpaidaghey; rock
torpidity	drommid; kyrloghid; magganeys
torpor	kyrloghid; magganeys; magganid
torso	callin; cashtal y corp; colb
toughened	creoighit; creoit; reenit
tractability	so-hayrnaght; so-ghleashaght; so-obbraght
tractile	so-choyrlit; so-ghleashit; so-obbraghys
traditionally	dy shagheydagh; dy tradishoonagh; rere shennaghys
trailer	lorgeyder; sleayd; traileyr
trailing	lorgey; sleaydagh; sleayder
transcribe	aascreeu; mac-screeu; screeu coip
transition	caghlaays; ceaghlid; stayd-chaghlaaee
transmission	pooar-hoyrt; toyrt; ym-skeaylley
transmit	creealey; sheeyney hug; ym-skeaylley
trapping	goaill ayns ribbey; ribbey; soie ribbaghyn
tribune	ardane; crannag; kione
trickiness	cluge; cluigid; cluigid cluge
trickster	cluigeyr; kialgeyr; lhoobeyr
tricky	cleaysagh; clickagh; clinkagh
trifler	bleih; frit; kione tap
trig	cur bac da; cur jeenys da; jeenys
trill	cur craa rish; rowlal; craa
triplet	tree reddyn; triplaid; troor
triplicate	jannoo tree filley; tree filley; tree reddyn
tri-weekly	gagh tree shiaghteeyn; tree laghyn 'sy chiaghtyn; tree-hiaghtinoil
troll	eeastagh lesh rollian; eeastaghey lesh rollian; eeastagh lesh slat
